No,Area,Region,trap_no,lat,lon,1.11~1.24,1.25~2.7,2.8~2.21,2.22~3.7,3.8~3.21,3.22~4.4,4.5~4.18,4.19~5.2,5.3~5.16,5.17~5.30,5.31~6.13,6.14~6.27,total
41,Gyeonggi,Siheung-si,2,37.38072222,126.8249167,0,0,0,0,0,27,0,3,0,1,0,0,31
42,Gyeonggi,Siheung-si,3,37.38030556,126.8244167,0,0,0,0,0,21,0,0,2,5,0,0,28
43,Gyeonggi,Yangpyeong-gun,1,37.53144444,127.5636389,0,0,0,0,0,0,0,0,41,44,3,0,88
44,Gyeonggi,Yangpyeong-gun,2,37.53127778,127.5639167,0,0,0,0,0,0,0,0,144,299,22,0,465
45,Gyeonggi,Yangpyeong-gun,3,37.53136111,127.5641667,0,0,0,0,0,0,0,0,184,345,0,0,529
46,Gyeonggi,Yeoncheon-gun,1,38.03933333,127.0460833,0,0,0,0,0,0,0,9,66,29,1,0,105
47,Gyeonggi,Yeoncheon-gun,2,38.03925,127.0462778,0,0,0,0,0,0,0,8,77,19,4,0,108
48,Gyeonggi,Yeoncheon-gun,3,38.03922222,127.0465556,0,0,0,0,0,0,0,5,71,17,4,0,97
49,Gyeonggi,"Yeonsu-gu, Incheon",1,37.40691667,126.6606111,0,0,0,0,0,83,8,37,1,1,0,0,130
50,Gyeonggi,"Yeonsu-gu, Incheon",2,37.40680556,126.6605833,0,0,0,0,0,489,39,21,8,1,4,0,562
51,Gyeonggi,"Yeonsu-gu, Incheon",3,37.40677778,126.6604167,0,0,0,0,0,540,34,12,1,1,2,0,590
52,Gyeonggi,"Yongsan-gu, Seoul",1,37.54313889,127.0038611,0,0,0,0,3,188,1,3,0,0,0,0,195
53,Gyeonggi,"Yongsan-gu, Seoul",2,37.54327778,127.0040278,0,0,0,0,3,180,0,2,0,0,0,0,185
54,Gyeonggi,"Yongsan-gu, Seoul",3,37.54316667,127.0043333,0,0,0,0,5,155,1,14,1,0,0,0,176
55,Gyeongnam,"Dong-gu, Ulsan",1,35.56475,129.4500278,1,11,25,12309,21529,627,19,4,1,7,2,5,34540
56,Gyeongnam,"Dong-gu, Ulsan",2,35.56677778,129.4502778,0,1,10,15208,19770,450,9,0,4,2,3,1,35458
57,Gyeongnam,"Dong-gu, Ulsan",3,35.56547222,129.4524444,0,1,10,9576,18570,108,8,1,0,3,5,12,28294
58,Gyeongnam,Haman-gun,1,35.29802778,128.4338333,0,0,0,29,487,823,32,166,8,22,0,0,1567
59,Gyeongnam,Haman-gun,2,35.28236111,128.4391111,0,0,0,12,614,620,5,157,1,6,0,0,1415
60,Gyeongnam,Haman-gun,3,35.30091667,128.4363611,0,0,0,0,546,1206,22,155,3,22,1,0,1955
61,Gyeongnam,Hamyang-gun,1,35.46766667,127.7010833,0,0,0,0,0,8,0,1,21,3,0,2,35
62,Gyeongnam,Hamyang-gun,2,35.47152778,127.7040556,0,0,0,0,0,1,0,0,5,0,0,0,6
63,Gyeongnam,Hamyang-gun,3,35.47311111,127.7097222,0,0,0,0,0,3,0,5,93,6,1,1,109
64,Gyeongnam,Hapcheon-gun,1,35.53911111,128.1732778,0,0,0,0,3,2,219,1341,127,84,1,0,1777
65,Gyeongnam,Hapcheon-gun,2,35.54316667,128.1728611,0,0,0,0,0,2,133,1236,164,79,6,0,1620
66,Gyeongnam,Hapcheon-gun,3,35.53697222,128.1678056,0,0,0,0,1,3,24,519,18,15,0,0,580
67,Gyeongnam,Jinju-si,1,35.21483333,128.0923056,1,0,1,66,1155,676,1,37,2,0,1,0,1940
68,Gyeongnam,Jinju-si,2,35.21263889,128.0991944,0,0,0,71,1077,1406,0,33,9,1,1,0,2598
69,Gyeongnam,Jinju-si,3,35.20125,128.1039722,0,1,0,108,4158,3085,6,31,4,2,0,1,7396
70,Gyeongnam,"Nam-gu, Busan",1,35.10844444,129.1073611,0,19,29,3090,17474,367,7,2,0,1,0,0,20989
71,Gyeongnam,"Nam-gu, Busan",2,35.10583333,129.1046667,0,0,0,10691,31679,1167,15,2,1,9,17,57,43638
72,Gyeongnam,"Nam-gu, Busan",3,35.10391667,129.104,0,0,1,5607,27402,531,28,0,2,3,12,21,33607
73,Gyeongnam,Tongyeong-si,1,34.934,128.4268333,0,0,0,292,6365,44,0,0,0,0,0,0,6701
74,Gyeongnam,Tongyeong-si,2,34.93611111,128.4236389,0,0,0,380,10412,157,0,0,0,3,3,1,10956
75,Gyeongnam,Tongyeong-si,3,34.93869444,128.423,0,1,3,683,10107,189,5,0,1,2,1,0,10992
76,Gyeongnam,Yangsan-si,1,35.34711111,129.02425,0,0,0,281,17189,1850,1,138,9,7,3,0,19478
77,Gyeongnam,Yangsan-si,2,35.35094444,129.0166389,0,1,0,309,12192,1843,12,366,6,2,0,0,14731
78,Gyeongnam,Yangsan-si,3,35.34272222,129.0233611,0,0,2,4270,26068,1459,52,8,2,3,0,0,31864
79,Gyeongbuk,Bonghwa-gun,1,36.90913889,128.9800278,0,0,0,0,0,0,0,2,226,67,3,0,298
80,Gyeongbuk,Bonghwa-gun,2,36.914,128.9725833,0,0,0,0,0,0,0,8,149,34,5,0,196
81,Gyeongbuk,Bonghwa-gun,3,36.89827778,128.7698333,0,0,0,0,0,0,0,2,107,22,4,0,135
82,Gyeongbuk,"Buk-gu, Daegu",1,35.93294444,128.5897222,0,0,0,0,0,0,304,462,21,10,0,0,797
83,Gyeongbuk,"Buk-gu, Daegu",2,35.93288889,128.5896389,0,0,0,0,0,0,584,807,224,138,0,1,1754
84,Gyeongbuk,"Buk-gu, Daegu",3,35.94047222,128.57125,0,0,0,0,0,0,640,624,39,3,0,1,1307
85,Gyeongbuk,Gimcheon-si,1,35.98972222,128.0979722,0,0,0,0,0,0,1,132,342,265,151,25,916
86,Gyeongbuk,Gimcheon-si,2,35.98886111,128.0958333,0,0,0,0,0,0,0,319,768,410,193,10,1700
87,Gyeongbuk,Gimcheon-si,3,35.98975,128.098,0,0,0,0,0,0,3,309,704,456,259,64,1795
88,Gyeongbuk,Gyeongju-si,1,35.79841667,129.4983056,0,0,0,6400,23271,307,23,8,0,1,1,3,30014
89,Gyeongbuk,Gyeongju-si,2,35.85344444,129.2307222,0,0,0,0,6,1,50,218,15,6,3,1,300
90,Gyeongbuk,Gyeongju-si,3,35.78130556,129.1235,0,0,0,0,0,0,5,304,63,9,2,0,383
91,Gyeongbuk,Sangju-si,1,36.37658333,128.1449722,0,0,0,0,0,0,4,761,28,0,3,1,797
92,Gyeongbuk,Sangju-si,2,36.37769444,128.1445833,0,0,0,0,0,0,11,581,52,34,3,0,681
93,Gyeongbuk,Sangju-si,3,36.38075,128.1486944,0,0,0,0,0,0,10,557,9,20,0,0,596
94,Gyeongbuk,Uiseong-gun,1,36.28644444,128.6672778,0,0,0,0,0,0,66,1445,387,136,13,0,2047
95,Gyeongbuk,Uiseong-gun,2,36.29711111,128.6787778,0,0,0,0,0,0,57,1046,138,62,10,2,1315
96,Gyeongbuk,Uiseong-gun,3,36.31877778,128.7031667,0,0,0,0,0,0,53,624,143,65,6,0,891
97,Gyeongbuk,Uljun-gun,1,36.72358333,129.4491389,0,0,0,0,0,0,4,81,6,0,0,0,91
98,Gyeongbuk,Uljun-gun,2,36.85958333,129.4225556,0,0,0,0,0,0,0,316,37,29,6,0,388
99,Gyeongbuk,Uljun-gun,3,37.03883333,129.41375,0,0,0,0,0,0,0,25,1,3,1,0,30
100,Gyeongbuk,Yecheon-gun,1,36.70463889,128.5079444,0,0,0,0,0,0,0,96,39,0,0,0,135
101,Gyeongbuk,Yecheon-gun,2,36.67897222,128.4530833,0,0,0,0,0,0,1,229,25,1,0,0,256
102,Gyeongbuk,Yecheon-gun,3,36.67686111,128.4553889,0,0,0,0,0,0,0,130,33,0,0,0,163
103,Gyeongbuk,Yeongdeok-gun,1,36.27636111,129.3456944,0,0,0,0,0,0,1,112,6,7,2,0,128
104,Gyeongbuk,Yeongdeok-gun,2,36.42930556,129.3828889,0,0,0,0,0,0,0,102,28,0,0,0,130
105,Gyeongbuk,Yeongdeok-gun,3,36.55458333,129.4370833,0,0,0,0,125,69,0,113,55,26,16,8,412
106,Jeonnam,Boseong-gun,1,34.69788889,127.15725,0,0,0,203,6927,1377,1,1,0,0,0,0,8509
107,Jeonnam,Boseong-gun,2,34.69794444,127.15575,0,0,2,417,3632,846,59,0,3,0,0,0,4959
108,Jeonnam,Boseong-gun,3,34.69730556,127.1546389,0,1,1,2207,19300,2699,1,2,1,0,0,0,24212
109,Jeonnam,Gokseong-gun,1,35.23055556,127.2405556,0,0,0,2,123,3560,4,7,9,0,0,0,3705
110,Jeonnam,Gokseong-gun,2,35.23022222,127.2406111,0,0,0,3,23,3034,21,5,7,0,0,0,3093
111,Jeonnam,Gokseong-gun,3,35.22975,127.2404444,0,0,0,1,50,2702,13,2,6,0,0,0,2774
112,Jeonnam,Haenam-gun,1,34.58002778,126.3091667,0,0,0,539,4372,3126,38,0,2,0,0,0,8077
113,Jeonnam,Haenam-gun,2,34.57988889,126.3085833,0,0,0,108,1599,837,1,2,2,0,0,0,2549
114,Jeonnam,Haenam-gun,3,34.58011111,126.3086944,0,0,0,32,2626,511,2,0,4,0,0,0,3175
115,Jeonnam,Hwasun-gun,1,35.02872222,127.0748889,0,0,0,1,107,1555,21,96,0,1,0,0,1781
116,Jeonnam,Hwasun-gun,2,35.02963889,127.0751111,0,0,0,11,99,3679,104,208,4,1,0,0,4106
117,Jeonnam,Hwasun-gun,3,35.03277778,127.076,0,0,0,6,91,1388,8,134,6,0,0,0,1633
118,Jeonnam,Jangseong-gun,1,35.42438889,126.8159444,0,0,0,2,9,552,145,52,13,0,0,0,773
119,Jeonnam,Jangseong-gun,2,35.42308333,126.8173056,0,0,0,1,9,734,34,168,16,3,0,0,965
120,Jeonnam,Jangseong-gun,3,35.42275,126.8190833,0,0,0,4,104,6959,339,118,8,0,0,0,7532
121,Jeonnam,Sinan-gun,1,35.03997222,126.1985,0,0,0,301,11002,2334,22,3,1,0,0,0,13663
122,Jeonnam,Sinan-gun,2,35.03955556,126.1983333,0,0,0,115,1405,404,1,0,1,0,0,0,1926
123,Jeonnam,Sinan-gun,3,35.03925,126.1986389,0,0,0,10,7051,1479,0,1,0,0,0,0,8541
124,Jeonnam,Wando-gun,1,34.33486111,126.7697778,0,2,4,2439,13540,1313,0,4,3,0,0,0,17305
125,Jeonnam,Wando-gun,2,34.33522222,126.7693611,0,0,0,1838,11278,970,0,0,0,0,0,0,14086
126,Jeonnam,Wando-gun,3,34.33538889,126.7690556,0,0,0,240,4758,2074,0,0,2,0,0,0,7074
127,Jeonnam,Yeonggwang-gun,1,35.29641667,126.3908333,0,0,0,0,1139,196,0,0,0,0,0,0,1335
128,Jeonnam,Yeonggwang-gun,2,35.29494444,126.39825,0,0,0,0,70,13,0,0,0,0,0,0,83
129,Jeonnam,Yeonggwang-gun,3,35.29958333,126.3966944,0,0,0,0,592,169,0,0,0,1,0,0,762
130,Jeonnam,Yeosu-si,1,34.71058333,127.6182222,0,0,0,181,808,67,72,0,2,0,0,0,1130
131,Jeonnam,Yeosu-si,2,34.70980556,127.6185278,0,0,0,508,2293,3,508,0,2,0,0,0,3314
132,Jeonnam,Yeosu-si,3,34.71041667,127.6186389,0,0,0,322,2123,10,312,0,3,0,0,0,2770
133,Jeonbuk,Buan-gun,1,35.72380556,126.6311667,0,0,0,1,10,139,4,2,0,0,0,0,156
134,Jeonbuk,Buan-gun,2,35.72427778,126.63125,0,0,0,2,119,440,3,0,0,0,0,0,564
135,Jeonbuk,Buan-gun,3,35.72388889,126.6305833,0,0,0,2,32,193,13,0,0,0,0,0,240
136,Jeonbuk,Gunsan-si,1,35.95072222,126.5236111,0,0,0,0,4,10314,165,21,6,0,0,0,10510
137,Jeonbuk,Gunsan-si,2,35.95127778,126.5235,0,0,0,1,9,5133,41,9,6,0,0,2,5201
138,Jeonbuk,Gunsan-si,3,35.95188889,126.5234722,0,0,0,0,7,5597,61,14,4,1,0,3,5687
139,Jeonbuk,Jangsu-gun,1,35.67897222,127.5387778,0,0,0,0,0,0,0,0,4,141,9,10,164
140,Jeonbuk,Jangsu-gun,2,35.67933333,127.5386389,0,0,0,0,1,0,0,0,33,306,22,31,393
141,Jeonbuk,Jangsu-gun,3,35.68041667,127.5376667,0,0,0,0,0,0,0,0,54,622,57,235,968
142,Jeonbuk,Jeonju-si,1,35.79888889,127.0875278,0,0,0,12,36,377,41,114,39,26,1,3,649
143,Jeonbuk,Jeonju-si,2,35.79861111,127.0870278,0,0,0,0,16,682,19,23,4,17,0,0,761
144,Jeonbuk,Jeonju-si,3,35.79825,127.0885278,0,0,0,5,40,1273,7,13,5,24,0,2,1369
145,Jeonbuk,Muju-gun,1,35.86972222,127.6625556,0,0,0,0,0,0,0,0,72,172,1,0,245
146,Jeonbuk,Muju-gun,2,35.87,127.6619167,0,0,0,0,0,0,0,0,140,216,1,0,357
147,Jeonbuk,Muju-gun,3,35.87002778,127.6616944,0,0,0,0,0,0,0,0,70,235,2,2,309
148,Jeonbuk,Namwon-si,1,35.47988889,127.3630556,0,0,0,1,5,52,29,146,7,4,0,0,244
149,Jeonbuk,Namwon-si,2,35.4795,127.3630556,0,0,0,0,3,71,53,330,18,9,0,0,484
150,Jeonbuk,Namwon-si,3,35.47902778,127.3626111,0,0,0,1,2,95,43,83,6,1,0,0,231
151,Jeonbuk,"Seo-gu, Daejeon",1,36.28983333,127.3408889,0,0,0,0,0,3,0,20,0,0,0,0,23
152,Jeonbuk,"Seo-gu, Daejeon",2,36.28972222,127.3410278,0,0,0,0,2,4,0,54,1,3,0,0,64
153,Jeonbuk,"Seo-gu, Daejeon",3,36.28975,127.3401389,0,0,0,0,2,11,1,46,2,1,1,1,65
154,Jeonbuk,Sunchang-gun,1,35.41341667,127.1458056,0,0,0,1,15,1564,31,16,0,0,0,0,1627
155,Jeonbuk,Sunchang-gun,2,35.41375,127.1479167,0,0,0,0,30,1530,27,37,1,0,0,2,1627
156,Jeonbuk,Sunchang-gun,3,35.41438889,127.14775,0,0,0,0,49,3415,96,33,7,3,0,0,3603
157,Chungcheong,Buyeo-gun,1,36.21369444,126.8706667,0,0,0,0,8,90,0,44,7,7,0,0,156
158,Chungcheong,Buyeo-gun,2,36.21388889,126.8704167,0,0,0,0,5,211,3,85,13,13,1,0,331
159,Chungcheong,Buyeo-gun,3,36.21383333,126.8698611,0,0,0,0,0,19,0,63,13,14,0,0,109
160,Chungcheong,Cheonan-si,1,36.86222222,127.2708056,0,0,0,0,0,0,0,30,18,14,0,0,62
161,Chungcheong,Cheonan-si,2,36.86130556,127.27125,0,0,0,0,0,1,0,14,9,0,0,0,24
162,Chungcheong,Cheonan-si,3,36.86061111,127.2715,0,0,0,0,0,0,0,13,7,1,0,0,21
163,Chungcheong,Cheongju-si,1,36.57919444,127.49375,0,0,0,0,0,4,10,379,10,2,1,0,406
164,Chungcheong,Cheongju-si,2,36.57958333,127.4934722,0,0,0,0,0,0,11,236,0,3,2,0,252
165,Chungcheong,Cheongju-si,3,36.57958333,127.4925556,0,0,0,0,0,1,12,225,10,15,0,0,263
166,Chungcheong,Eumseong-gun,1,36.97486111,127.6426667,0,0,0,0,0,0,3,355,348,248,62,8,1024
167,Chungcheong,Eumseong-gun,2,36.97527778,127.6427222,0,0,0,0,0,0,5,498,439,395,67,22,1426
168,Chungcheong,Eumseong-gun,3,36.9755,127.6430278,0,0,0,0,0,0,4,385,357,317,59,13,1135
169,Chungcheong,Hongseong-gun,1,36.55383333,126.6249167,0,0,0,0,0,2,0,43,22,18,0,0,85
170,Chungcheong,Hongseong-gun,2,36.55341667,126.6251389,0,0,0,0,0,0,7,84,26,39,0,0,156
171,Chungcheong,Hongseong-gun,3,36.55275,126.6254444,0,0,0,0,0,1,4,63,20,55,0,0,143
172,Chungcheong,Jecheon-si,1,37.01091667,128.1816389,0,0,0,0,0,9,5,128,116,110,8,10,386
173,Chungcheong,Jecheon-si,2,37.01163889,128.1813611,0,0,0,0,0,28,25,237,207,104,10,1,612
174,Chungcheong,Jecheon-si,3,37.01222222,128.1810278,0,0,0,0,0,53,7,71,147,80,6,1,365
175,Chungcheong,Nonsan-si,1,36.21044444,127.1613611,0,0,0,0,0,5,1,83,26,26,0,3,144
176,Chungcheong,Nonsan-si,2,36.21091667,127.1614722,0,0,0,0,0,3,0,21,15,30,7,3,79
177,Chungcheong,Nonsan-si,3,36.21105556,127.1618333,0,0,0,0,0,0,0,23,3,10,2,0,38
178,Chungcheong,Seocheon-gun,1,36.10241667,126.6123611,0,0,0,2,25,1279,648,21,3,3,4,2,1987
179,Chungcheong,Seocheon-gun,2,36.10086111,126.6108056,0,0,0,0,32,1598,758,16,0,5,1,0,2410
180,Chungcheong,Seocheon-gun,3,36.10175,126.6128611,0,0,0,2,31,63,520,13,1,4,2,0,636
181,Chungcheong,Taean-gun,1,36.79038889,126.1473611,0,0,0,0,2,6274,3920,259,15,1,3,50,10524
182,Chungcheong,Taean-gun,2,36.79044444,126.1470556,0,0,0,0,2,10482,4890,438,16,3,3,93,15927
183,Chungcheong,Taean-gun,3,36.78877778,126.1475278,0,0,0,0,14,9640,6507,291,3,0,0,14,16469
184,Chungcheong,Yeongdong-gun,1,36.12875,127.7382778,0,0,0,0,0,0,0,168,68,64,21,1,322
185,Chungcheong,Yeongdong-gun,2,36.12922222,127.7385,0,0,0,0,0,0,0,105,21,12,7,0,145
186,Chungcheong,Yeongdong-gun,3,36.12972222,127.7384444,0,0,0,0,0,0,0,80,10,30,8,1,129
187,Chungcheong,Yesan-gun,1,36.66097222,126.8393889,0,0,0,0,0,0,2,65,25,4,0,0,96
188,Chungcheong,Yesan-gun,2,36.66233333,126.8400833,0,0,0,0,0,0,0,112,27,4,0,2,145
189,Chungcheong,Yesan-gun,3,36.66380556,126.8398889,0,0,0,0,0,0,1,81,7,1,0,0,90
190,Jeju,Jeju-si,1,33.39661111,126.2988889,0,0,0,5243,28712,1080,2,25,7,31,0,0,35100
191,Jeju,Jeju-si,2,33.38880556,126.2353056,0,0,42,17215,12774,335,6,20,1,9,0,1,30403
192,Jeju,Jeju-si,3,33.35638889,126.3091944,0,0,0,15,10660,2500,4,1,0,1,0,0,13181
193,Jeju,Seogwipo-si,1,33.45430556,126.8716111,0,0,2,408,2250,40,0,0,0,0,0,0,2700
194,Jeju,Seogwipo-si,2,33.43330556,126.8235,0,0,0,315,21493,821,1,0,0,0,0,0,22630
195,Jeju,Seogwipo-si,3,33.38588889,126.853,0,1,0,4456,18102,58,0,0,0,0,0,0,22617
